image_name,data_name,obj_id,pose_id,pose_1,pose_2,pose_3,pose_4,pose_5,pose_6,move_1,move_2,move_3,move_4,move_5,move_6
frame_0_0.png,frame_0,1,1,0.0,0.0,3.4110535042865755,-2.244159149844844,3.8172600330547652,0.0,-0.6469040316048691,-3.3974604951815053,0.0,0.0,0.0,0.0
frame_1_0.png,frame_1,1,2,0.0,0.0,4.854651042004117,5.827924058711115,-14.586251904133228,0.0,-4.156513062006972,-3.5345237162980627,0.0,0.0,0.0,0.0
frame_2_0.png,frame_2,1,3,0.0,0.0,1.2841442327915478,20.643535014922964,23.989080127983716,0.0,-4.458708006923029,-0.6996783146412913,0.0,0.0,0.0,0.0
frame_3_0.png,frame_3,1,4,0.0,0.0,4.914473368931056,-14.95792821083618,1.9260318873534068,0.0,0.27980324588581595,2.087068232794479,0.0,0.0,0.0,0.0
frame_4_0.png,frame_4,1,5,0.0,0.0,1.5734131496361856,-22.233445852479193,-1.092416087503583,0.0,-2.69066333854531,-3.173654600125836,0.0,0.0,0.0,0.0
frame_5_0.png,frame_5,1,6,0.0,0.0,2.824601328866194,-3.421697443432425,24.060509978182242,0.0,-2.6675635798548782,-2.5961071919109333,0.0,0.0,0.0,0.0
frame_6_0.png,frame_6,1,7,0.0,0.0,4.774992314058497,-9.091014955174174,7.024604971310701,0.0,1.8291171358373748,2.878758863054979,0.0,0.0,0.0,0.0
frame_7_0.png,frame_7,1,8,0.0,0.0,3.6670668617826707,-8.531893480907968,14.480871946307955,0.0,-1.5044117552019838,-4.920434740415676,0.0,0.0,0.0,0.0
frame_8_0.png,frame_8,1,9,0.0,0.0,3.2807870816715186,3.0699243268839815,-24.418691902961307,0.0,1.2024169345048152,-3.5964996270629044,0.0,0.0,0.0,0.0
frame_9_0.png,frame_9,1,10,0.0,0.0,3.6124333018615937,12.335419873010894,1.6844613571846843,0.0,3.8168645052926076,-2.663105859832143,0.0,0.0,0.0,0.0
frame_10_0.png,frame_10,1,11,0.0,0.0,3.6253183578610937,18.09085243256931,15.170881915997326,0.0,0.5953114823364771,3.9591137141412602,0.0,0.0,0.0,0.0
frame_11_0.png,frame_11,1,12,0.0,0.0,4.351779629995216,20.195079605301846,-23.82297325066979,0.0,2.4689846769472776,-3.490541600987214,0.0,0.0,0.0,0.0
frame_12_0.png,frame_12,1,13,0.0,0.0,3.9570543175932067,23.040610387283966,10.859651871179521,0.0,-0.838266839648564,3.0799821054216636,0.0,0.0,0.0,0.0
frame_13_0.png,frame_13,1,14,0.0,0.0,2.271932717575904,4.286850274266502,21.792625182560784,0.0,-3.8897687746497684,-3.705535407397617,0.0,0.0,0.0,0.0
frame_14_0.png,frame_14,1,15,0.0,0.0,3.0929922138667987,20.302974462077916,-3.7973247778089636,0.0,4.277254666001106,3.5622892797835037,0.0,0.0,0.0,0.0
frame_15_0.png,frame_15,1,16,0.0,0.0,1.5271914496175687,-10.816360205928277,10.529695352639944,0.0,3.6837108003447194,3.7553195762478198,0.0,0.0,0.0,0.0
frame_16_0.png,frame_16,1,17,0.0,0.0,4.315760116869452,24.765226190372648,-8.890826839811503,0.0,0.26160822274925,4.346956724120968,0.0,0.0,0.0,0.0
